time(s)	cellId	rnti	lcid	packetSize	delay(s)
0.409029	1	1	5	1030	0.00902677
0.410029	1	1	5	1030	0.00998677
0.410029	1	1	5	1030	0.00994677
0.410029	1	1	5	1030	0.00990677
0.410029	1	1	5	1030	0.00986677
0.410029	1	1	5	1030	0.00982677
0.410029	1	1	5	1030	0.00978677
0.410029	1	1	5	1030	0.00974677
0.410029	1	1	5	1030	0.00970677
0.411029	1	1	5	1030	0.0106668
0.411029	1	1	5	1030	0.0106268
0.411029	1	1	5	1030	0.0105868
0.411029	1	1	5	1030	0.0105468
0.411029	1	1	5	1030	0.0105068
0.411029	1	1	5	1030	0.0104668
0.411029	1	1	5	1030	0.0104268
0.411029	1	1	5	1030	0.0103868
0.412029	1	1	5	1030	0.0113468
0.412029	1	1	5	1030	0.0113068
0.412029	1	1	5	1030	0.0112668
0.412029	1	1	5	1030	0.0112268
0.412029	1	1	5	1030	0.0111868
0.412029	1	1	5	1030	0.0111468
0.412029	1	1	5	1030	0.0111068
0.412029	1	1	5	1030	0.0110668
0.412029	1	1	5	1030	0.0110268
0.413029	1	1	5	1030	0.0119868
0.413029	1	1	5	1030	0.0119468
0.413029	1	1	5	1030	0.0119068
0.413029	1	1	5	1030	0.0118668
0.413029	1	1	5	1030	0.0118268
0.413029	1	1	5	1030	0.0117868
0.413029	1	1	5	1030	0.0117468
0.413029	1	1	5	1030	0.0117068
0.414029	1	1	5	1030	0.0126668
0.414029	1	1	5	1030	0.0126268
0.414029	1	1	5	1030	0.0125868
0.414029	1	1	5	1030	0.0125468
0.414029	1	1	5	1030	0.0125068
0.414029	1	1	5	1030	0.0124668
0.414029	1	1	5	1030	0.0124268
0.414029	1	1	5	1030	0.0123868
0.414029	1	1	5	1030	0.0123468
0.415029	1	1	5	1030	0.0133068
0.415029	1	1	5	1030	0.0132668
0.415029	1	1	5	1030	0.0132268
0.415029	1	1	5	1030	0.0131868
0.415029	1	1	5	1030	0.0131468
0.415029	1	1	5	1030	0.0131068
0.415029	1	1	5	1030	0.0130668
0.415029	1	1	5	1030	0.0130268
0.416029	1	1	5	1030	0.0139868
0.416029	1	1	5	1030	0.0139468
0.416029	1	1	5	1030	0.0139068
0.416029	1	1	5	1030	0.0138668
0.416029	1	1	5	1030	0.0138268
0.416029	1	1	5	1030	0.0137868
0.416029	1	1	5	1030	0.0137468
0.416029	1	1	5	1030	0.0137068
0.416029	1	1	5	1030	0.0136668
0.417029	1	1	5	1030	0.0146268
0.417029	1	1	5	1030	0.0145868
0.417029	1	1	5	1030	0.0145468
0.417029	1	1	5	1030	0.0145068
0.417029	1	1	5	1030	0.0144668
0.417029	1	1	5	1030	0.0144268
0.417029	1	1	5	1030	0.0143868
0.417029	1	1	5	1030	0.0143468
0.418029	1	1	5	1030	0.0153068
0.418029	1	1	5	1030	0.0152668
0.418029	1	1	5	1030	0.0152268
0.418029	1	1	5	1030	0.0151868
0.418029	1	1	5	1030	0.0151468
0.418029	1	1	5	1030	0.0151068
0.418029	1	1	5	1030	0.0150668
0.418029	1	1	5	1030	0.0150268
0.419029	1	1	5	1030	0.0159868
0.419029	1	1	5	1030	0.0159468
0.419029	1	1	5	1030	0.0159068
0.419029	1	1	5	1030	0.0158668
0.419029	1	1	5	1030	0.0158268
0.419029	1	1	5	1030	0.0157868
0.419029	1	1	5	1030	0.0157468
0.419029	1	1	5	1030	0.0157068
0.419029	1	1	5	1030	0.0156668
0.420029	1	1	5	1030	0.0166268
0.420029	1	1	5	1030	0.0165868
0.420029	1	1	5	1030	0.0165468
0.420029	1	1	5	1030	0.0165068
0.420029	1	1	5	1030	0.0164668
0.420029	1	1	5	1030	0.0164268
0.420029	1	1	5	1030	0.0163868
0.420029	1	1	5	1030	0.0163468
0.421029	1	1	5	1030	0.0173068
0.421029	1	1	5	1030	0.0172668
0.421029	1	1	5	1030	0.0172268
0.421029	1	1	5	1030	0.0171868
0.421029	1	1	5	1030	0.0171468
0.421029	1	1	5	1030	0.0171068
0.421029	1	1	5	1030	0.0170668
0.421029	1	1	5	1030	0.0170268
0.421029	1	1	5	1030	0.0169868
0.422029	1	1	5	1030	0.0179468
0.422029	1	1	5	1030	0.0179068
0.422029	1	1	5	1030	0.0178668
0.422029	1	1	5	1030	0.0178268
0.422029	1	1	5	1030	0.0177868
0.422029	1	1	5	1030	0.0177468
0.422029	1	1	5	1030	0.0177068
0.422029	1	1	5	1030	0.0176668
0.423029	1	1	5	1030	0.0186268
0.423029	1	1	5	1030	0.0185868
0.423029	1	1	5	1030	0.0185468
0.423029	1	1	5	1030	0.0185068
0.423029	1	1	5	1030	0.0184668
0.423029	1	1	5	1030	0.0184268
0.423029	1	1	5	1030	0.0183868
0.423029	1	1	5	1030	0.0183468
0.423029	1	1	5	1030	0.0183068
0.424029	1	1	5	1030	0.0192668
0.424029	1	1	5	1030	0.0192268
0.424029	1	1	5	1030	0.0191868
0.424029	1	1	5	1030	0.0191468
0.424029	1	1	5	1030	0.0191068
0.424029	1	1	5	1030	0.0190668
0.424029	1	1	5	1030	0.0190268
0.424029	1	1	5	1030	0.0189868
0.425029	1	1	5	1030	0.0199468
0.425029	1	1	5	1030	0.0199068
0.425029	1	1	5	1030	0.0198668
0.425029	1	1	5	1030	0.0198268
0.425029	1	1	5	1030	0.0197868
0.425029	1	1	5	1030	0.0197468
0.425029	1	1	5	1030	0.0197068
