time(s)	cellId	rnti	lcid	packetSize
0.400002	1	1	5	1030
0.400042	1	1	5	1030
0.400082	1	1	5	1030
0.400122	1	1	5	1030
0.400162	1	1	5	1030
0.400202	1	1	5	1030
0.400242	1	1	5	1030
0.400282	1	1	5	1030
0.400322	1	1	5	1030
0.400362	1	1	5	1030
0.400402	1	1	5	1030
0.400442	1	1	5	1030
0.400482	1	1	5	1030
0.400522	1	1	5	1030
0.400562	1	1	5	1030
0.400602	1	1	5	1030
0.400642	1	1	5	1030
0.400682	1	1	5	1030
0.400722	1	1	5	1030
0.400762	1	1	5	1030
0.400802	1	1	5	1030
0.400842	1	1	5	1030
0.400882	1	1	5	1030
0.400922	1	1	5	1030
0.400962	1	1	5	1030
0.401002	1	1	5	1030
0.401042	1	1	5	1030
0.401082	1	1	5	1030
0.401122	1	1	5	1030
0.401162	1	1	5	1030
0.401202	1	1	5	1030
0.401242	1	1	5	1030
0.401282	1	1	5	1030
0.401322	1	1	5	1030
0.401362	1	1	5	1030
0.401402	1	1	5	1030
0.401442	1	1	5	1030
0.401482	1	1	5	1030
0.401522	1	1	5	1030
0.401562	1	1	5	1030
0.401602	1	1	5	1030
0.401642	1	1	5	1030
0.401682	1	1	5	1030
0.401722	1	1	5	1030
0.401762	1	1	5	1030
0.401802	1	1	5	1030
0.401842	1	1	5	1030
0.401882	1	1	5	1030
0.401922	1	1	5	1030
0.401962	1	1	5	1030
0.402002	1	1	5	1030
0.402042	1	1	5	1030
0.402082	1	1	5	1030
0.402122	1	1	5	1030
0.402162	1	1	5	1030
0.402202	1	1	5	1030
0.402242	1	1	5	1030
0.402282	1	1	5	1030
0.402322	1	1	5	1030
0.402362	1	1	5	1030
0.402402	1	1	5	1030
0.402442	1	1	5	1030
0.402482	1	1	5	1030
0.402522	1	1	5	1030
0.402562	1	1	5	1030
0.402602	1	1	5	1030
0.402642	1	1	5	1030
0.402682	1	1	5	1030
0.402722	1	1	5	1030
0.402762	1	1	5	1030
0.402802	1	1	5	1030
0.402842	1	1	5	1030
0.402882	1	1	5	1030
0.402922	1	1	5	1030
0.402962	1	1	5	1030
0.403002	1	1	5	1030
0.403042	1	1	5	1030
0.403082	1	1	5	1030
0.403122	1	1	5	1030
0.403162	1	1	5	1030
0.403202	1	1	5	1030
