time(s)	cellId	rnti	lcid	packetSize	delay(s)
0.404029	1	1	5	198	0.00302856
0.405029	1	1	5	198	0.00302856
0.406029	1	1	5	198	0.00302856
0.407029	1	1	5	198	0.00302856
0.408029	1	1	5	198	0.00302856
0.409029	1	1	5	198	0.00302856
0.410029	1	1	5	8688	0.00302856
0.411029	1	1	5	8688	0.00302856
0.412029	1	1	5	8688	0.00302856
0.413029	1	1	5	8688	0.00302856
0.414029	1	1	5	8688	0.00302856
0.415029	1	1	5	8688	0.00302856
0.416029	1	1	5	8688	0.00302856
0.417029	1	1	5	8688	0.00302856
0.418029	1	1	5	8688	0.00302856
0.419029	1	1	5	8688	0.00302856
0.420029	1	1	5	8688	0.00302856
0.421029	1	1	5	8688	0.00302856
0.422029	1	1	5	8688	0.00302856
0.423029	1	1	5	8688	0.00302856
0.424029	1	1	5	8688	0.00302856
0.425029	1	1	5	8688	0.00302856
0.426029	1	1	5	8688	0.00302856
0.427029	1	1	5	8688	0.00302856
0.428029	1	1	5	8688	0.00302856
0.429029	1	1	5	8688	0.00302856
0.430029	1	1	5	8688	0.00302856
0.431029	1	1	5	8688	0.00302856
0.432029	1	1	5	8688	0.00302856
0.433029	1	1	5	8688	0.00302856
0.434029	1	1	5	8688	0.00302856
0.435029	1	1	5	8688	0.00302856
0.436029	1	1	5	8688	0.00302856
0.437029	1	1	5	8688	0.00302856
0.438029	1	1	5	8688	0.00302856
0.439029	1	1	5	8688	0.00302856
0.440029	1	1	5	8688	0.00302856
0.441029	1	1	5	8688	0.00302856
0.442029	1	1	5	8688	0.00302856
0.443029	1	1	5	8688	0.00302856
0.444029	1	1	5	8688	0.00302856
0.445029	1	1	5	8688	0.00302856
0.446029	1	1	5	8688	0.00302856
0.447029	1	1	5	8688	0.00302856
0.448029	1	1	5	8688	0.00302856
0.449029	1	1	5	8688	0.00302856
0.450029	1	1	5	8688	0.00302856
0.450957	1	1	5	7965	0.00295714
0.452029	1	1	5	8688	0.00302856
0.453029	1	1	5	8688	0.00302856
0.454029	1	1	5	8688	0.00302856
0.455029	1	1	5	8688	0.00302856
0.456029	1	1	5	8688	0.00302856
0.457029	1	1	5	8688	0.00302856
0.458029	1	1	5	8688	0.00302856
0.459029	1	1	5	8688	0.00302856
0.460029	1	1	5	8688	0.00302856
0.461029	1	1	5	8688	0.00302856
0.462029	1	1	5	8688	0.00302856
0.463029	1	1	5	8688	0.00302856
0.464029	1	1	5	8688	0.00302856
0.465029	1	1	5	8688	0.00302856
0.466029	1	1	5	8688	0.00302856
0.467029	1	1	5	8688	0.00302856
0.468029	1	1	5	8688	0.00302856
0.469029	1	1	5	8688	0.00302856
0.470029	1	1	5	8688	0.00302856
0.471029	1	1	5	8688	0.00302856
0.472029	1	1	5	8688	0.00302856
0.473029	1	1	5	8688	0.00302856
0.474029	1	1	5	8688	0.00302856
0.475029	1	1	5	8688	0.00302856
0.476029	1	1	5	8688	0.00302856
0.477029	1	1	5	8688	0.00302856
0.478029	1	1	5	8688	0.00302856
0.479029	1	1	5	8688	0.00302856
0.480029	1	1	5	8688	0.00302856
0.481029	1	1	5	8688	0.00302856
0.482029	1	1	5	8688	0.00302856
0.483029	1	1	5	8688	0.00302856
0.484029	1	1	5	8688	0.00302856
0.485029	1	1	5	8688	0.00302856
0.486029	1	1	5	8688	0.00302856
0.487029	1	1	5	8688	0.00302856
0.488029	1	1	5	8688	0.00302856
0.489029	1	1	5	8688	0.00302856
0.490029	1	1	5	8688	0.00302856
0.491029	1	1	5	8688	0.00302856
0.492029	1	1	5	8688	0.00302856
0.493029	1	1	5	8688	0.00302856
0.494029	1	1	5	8688	0.00302856
0.495029	1	1	5	8688	0.00302856
0.496029	1	1	5	8688	0.00302856
0.497029	1	1	5	8688	0.00302856
0.498029	1	1	5	8688	0.00302856
0.499029	1	1	5	8688	0.00302856
0.500029	1	1	5	8688	0.00302856
0.501029	1	1	5	8688	0.00302856
0.502029	1	1	5	8688	0.00302856
0.503029	1	1	5	8688	0.00302856
0.504029	1	1	5	8688	0.00302856
0.505029	1	1	5	8688	0.00302856
0.506029	1	1	5	8688	0.00302856
0.507029	1	1	5	8688	0.00302856
0.508029	1	1	5	8688	0.00302856
0.509029	1	1	5	8688	0.00302856
0.510029	1	1	5	8688	0.00302856
0.511029	1	1	5	8688	0.00302856
0.512029	1	1	5	8688	0.00302856
0.513029	1	1	5	8688	0.00302856
0.514029	1	1	5	8688	0.00302856
0.515029	1	1	5	8688	0.00302856
0.516029	1	1	5	8688	0.00302856
0.517029	1	1	5	8688	0.00302856
0.518029	1	1	5	8688	0.00302856
0.519029	1	1	5	8688	0.00302856
0.520029	1	1	5	8688	0.00302856
0.521029	1	1	5	8688	0.00302856
0.522029	1	1	5	8688	0.00302856
0.523029	1	1	5	8688	0.00302856
0.524029	1	1	5	8688	0.00302856
0.525029	1	1	5	8688	0.00302856
0.526029	1	1	5	8688	0.00302856
0.527029	1	1	5	8688	0.00302856
0.528029	1	1	5	8688	0.00302856
0.529029	1	1	5	8688	0.00302856
0.530029	1	1	5	8688	0.00302856
0.530957	1	1	5	7965	0.00295714
0.532029	1	1	5	8688	0.00302856
0.533029	1	1	5	8688	0.00302856
0.534029	1	1	5	8688	0.00302856
0.535029	1	1	5	8688	0.00302856
0.536029	1	1	5	8688	0.00302856
0.537029	1	1	5	8688	0.00302856
0.538029	1	1	5	8688	0.00302856
0.539029	1	1	5	8688	0.00302856
0.540029	1	1	5	8688	0.00302856
0.541029	1	1	5	8688	0.00302856
0.542029	1	1	5	8688	0.00302856
0.543029	1	1	5	8688	0.00302856
0.544029	1	1	5	8688	0.00302856
0.545029	1	1	5	8688	0.00302856
0.546029	1	1	5	8688	0.00302856
0.547029	1	1	5	8688	0.00302856
0.548029	1	1	5	8688	0.00302856
0.549029	1	1	5	8688	0.00302856
0.550029	1	1	5	8688	0.00302856
0.551029	1	1	5	8688	0.00302856
0.552029	1	1	5	8688	0.00302856
0.553029	1	1	5	8688	0.00302856
0.554029	1	1	5	8688	0.00302856
0.555029	1	1	5	8688	0.00302856
0.556029	1	1	5	8688	0.00302856
0.557029	1	1	5	8688	0.00302856
0.558029	1	1	5	8688	0.00302856
0.559029	1	1	5	8688	0.00302856
0.560029	1	1	5	8688	0.00302856
0.561029	1	1	5	8688	0.00302856
0.562029	1	1	5	8688	0.00302856
0.563029	1	1	5	8688	0.00302856
0.564029	1	1	5	8688	0.00302856
0.565029	1	1	5	8688	0.00302856
0.566029	1	1	5	8688	0.00302856
0.567029	1	1	5	8688	0.00302856
0.568029	1	1	5	8688	0.00302856
0.569029	1	1	5	8688	0.00302856
0.570029	1	1	5	8688	0.00302856
0.571029	1	1	5	8688	0.00302856
0.572029	1	1	5	8688	0.00302856
0.573029	1	1	5	8688	0.00302856
0.574029	1	1	5	8688	0.00302856
0.575029	1	1	5	8688	0.00302856
0.576029	1	1	5	8688	0.00302856
0.577029	1	1	5	8688	0.00302856
0.578029	1	1	5	8688	0.00302856
0.579029	1	1	5	8688	0.00302856
0.580029	1	1	5	8688	0.00302856
0.581029	1	1	5	8688	0.00302856
0.582029	1	1	5	8688	0.00302856
0.583029	1	1	5	8688	0.00302856
0.584029	1	1	5	8688	0.00302856
0.585029	1	1	5	8688	0.00302856
0.586029	1	1	5	8688	0.00302856
0.587029	1	1	5	8688	0.00302856
0.588029	1	1	5	8688	0.00302856
0.589029	1	1	5	8688	0.00302856
0.590029	1	1	5	8688	0.00302856
0.591029	1	1	5	8688	0.00302856
0.592029	1	1	5	8688	0.00302856
0.593029	1	1	5	8688	0.00302856
0.594029	1	1	5	8688	0.00302856
0.595029	1	1	5	8688	0.00302856
0.596029	1	1	5	8688	0.00302856
0.597029	1	1	5	8688	0.00302856
0.598029	1	1	5	8688	0.00302856
0.599029	1	1	5	8688	0.00302856
0.600029	1	1	5	8688	0.00302856
0.601029	1	1	5	8688	0.00302856
0.602029	1	1	5	8688	0.00302856
0.603029	1	1	5	8688	0.00302856
0.604029	1	1	5	8688	0.00302856
0.605029	1	1	5	8688	0.00302856
0.606029	1	1	5	8688	0.00302856
0.607029	1	1	5	8688	0.00302856
0.608029	1	1	5	8688	0.00302856
0.609029	1	1	5	8688	0.00302856
0.610029	1	1	5	8688	0.00302856
0.610957	1	1	5	7965	0.00295714
0.612029	1	1	5	8688	0.00302856
0.613029	1	1	5	8688	0.00302856
0.614029	1	1	5	8688	0.00302856
0.615029	1	1	5	8688	0.00302856
0.616029	1	1	5	8688	0.00302856
0.617029	1	1	5	8688	0.00302856
0.618029	1	1	5	8688	0.00302856
0.619029	1	1	5	8688	0.00302856
