time(s)	cellId	rnti	lcid	packetSize	delay(s)
0.509029	1	1	5	74	0.00295714
0.515029	1	1	5	1210	0.00295714
2.50803	1	1	5	74	0.00295714
2.51403	1	1	5	1210	0.00295714
4.50803	1	1	5	74	0.00295714
4.51403	1	1	5	1210	0.00295714
6.50803	1	1	5	74	0.00295714
6.51403	1	1	5	1210	0.00295714
8.50803	1	1	5	74	0.00295714
8.51403	1	1	5	1210	0.00295714
10.508	1	1	5	74	0.00295714
10.514	1	1	5	1210	0.00295714
12.508	1	1	5	74	0.00295714
12.514	1	1	5	1210	0.00295714
14.508	1	1	5	74	0.00295714
14.514	1	1	5	1210	0.00295714
16.508	1	1	5	74	0.00295714
16.514	1	1	5	1210	0.00295714
18.508	1	1	5	74	0.00295714
18.514	1	1	5	1210	0.00295714
